adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url,addr_winner
Юго-Восточный,Кузьминки,"г. москва, ул. юных ленинцев, д. 70",5.0,,55.69839,37.77321,железобетонные,Панельный,Крупнопанельные,муниципальный,263.0,1963.0,248.0,,Исправный,Кузьминки,0.95,14.0,77:04:0004006:1170,7.7000000000001e+16,,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=15788,
Восточный,Гольяново,"г. москва, ул. чусовская, д. 11, к. 5",5.0,,55.81455,37.81009,Железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,265.0,1965.0,248.0,,Исправный,Щелковская,0.9,14.0,77:03:0002015:1052,7.70000000003132e+16,,1.0,2025-2028,https://flatinfo.ru/h_info1.asp?hid=53626,
Юго-Западный,Коньково,"г. москва, пр-кт. севастопольский, д. 60",22.0,,55.639880000000005,37.545390000000005,,Монолитный,,,,2021.0,272.0,3.0,,Беляево,1.3,20.0,77:06:0008005:5568,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353841,
Северо-Восточный,Медведково Южное,"г. москва, ул. молодцова, д. 15, к. 2",22.0,,55.87744,37.634409999999995,Железобетонные,Панельный,Крупнопанельные,,395.0,2012.0,266.0,1.0,Исправный,Медведково,2.05,31.0,77:02:0006002:11201,7.70000000001892e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=229017,
Северо-Западный,Хорошево-Мневники,"г. москва, ул. мневники, д. 23",14.0,,55.77381,37.47965,Железобетонные,Монолитный,Бетонные Монолитные,,792.0,2014.0,,1.0,Исправный,Народное Ополчение,0.45,7.0,77:08:0010012:6506,7.70000000001882e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=301650,
Центральный,Пресненский,"г. москва, ул. мантулинская, д. 10",5.0,,55.75666,37.55471,Деревянные,Кирпичный,Кирпичные,муниципальный,227.0,1926.0,300.0,1.0,Исправный,Улица 1905 года,1.05,16.0,77:01:0004035:1005,7.70000000001788e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=27697,
Северный,Дмитровский,"г. москва, ул. долгопрудная, д. 7",17.0,,55.893330000000006,37.53922,,Панельный,,,,2020.0,260.0,2.0,,Лианозово,0.75,11.0,77:09:0002010:4490,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354045,
Центральный,Пресненский,"г. москва, ул. красногвардейская 3-я, д. 6",5.0,,55.758219999999994,37.54085,Железобетонные,Панельный,Крупноблочные,муниципальный,150.0,1961.0,258.0,,Исправный,Тестовская,0.75,11.0,77:01:0004039:1007,7.70000000001579e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=28848,
Северо-Западный,Хорошево-Мневники,"г. москва, ул. демьяна бедного, д. 5",9.0,,55.7728,37.48679,Железобетонные,Монолитный,Железобетонные Монолитные,,212.0,2014.0,,1.0,Исправный,Народное Ополчение,0.35,5.0,77:08:0010012:6140,7.70000000003248e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=239946,
Центральный,Якиманка,"г. москва, ул. якиманка б., д. 35, стр. 1",6.0,,55.734590000000004,37.61354,деревянные,Кирпичный,Кирпичные,муниципальный,31.0,1900.0,,1.0,Исправный,Полянка,0.45,7.0,77:01:0002003:1047,7.70000000007019e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=184935,
