lot_tag,addr_norm,adm_area,mun_district,metro_name,metro_dist,metro_minutes,addr_floor,total_floors,year_exp_w,реновация,ремонт,qty_rooms,is_qty_rooms_predicted,obj_square,start_price,start_price_m2,final_price,final_price_m2,delta_price,auct_date,investMSK_URL,lot_URL,platform_name,timestamp,building_page,Примечания
#ГП16879806,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,4,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.0,6265872,118224.0,8697029,118224.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609513,https://www.roseltorg.ru/procedure/COM26062000134,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879805,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,3,"от 11 до 14 этажей
",2018,новый дом,,1.0,0,53.0,6234867,117639.0,8516827,117639.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609506,https://www.roseltorg.ru/procedure/COM26062000135,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879733,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,6,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.0,6334136,119512.0,8690434,119512.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609444,https://www.roseltorg.ru/procedure/COM26062000123,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879750,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,7,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.1,6377151,120097.01,8558136,120097.01,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609456,https://www.roseltorg.ru/procedure/COM26062000119,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879753,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,9,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.1,6439331,121268.0,8667339,121268.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609473,https://www.roseltorg.ru/procedure/COM26062000111,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16882151,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,11,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.1,6564859,123632.0,9860418,123632.0,,2020-11-12,https://investmoscow.ru/tenders/tendercard/?TenderId=17699039,https://www.roseltorg.ru/procedure/COM10092000081,ЕЭТП,1605139200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879743,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,8,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.2,6420282,120681.99,8436249,120681.99,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609468,https://www.roseltorg.ru/procedure/COM26062000115,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879737,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,7,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.2,6389160,120096.99,8714814,120096.99,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609448,https://www.roseltorg.ru/procedure/COM26062000122,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879809,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,5,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.3,6326230,118690.99,8806112,118690.99,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609544,https://www.roseltorg.ru/procedure/COM26062000131,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879812,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,5,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.3,6326230,118690.99,8591020,118690.99,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609573,https://www.roseltorg.ru/procedure/COM26062000128,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
