adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url,addr_winner
Юго-Западный,Ломоносовский,"г. москва, ул. академика пилюгина, д. 14, к. 2",18.0,,55.67095,37.53585,железобетонные,Панельный,Крупнопанельные,муниципальный,1757.0,1987.0,266.0,2.0,Исправный,Новаторская,0.8,12.0,77:06:0003010:1008,7.7000000000228e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=70383,"академика пилюгина ул., 14к2"
Северо-Западный,Хорошево-Мневники,"г. москва, ул. маршала тухачевского, д. 42, к. 3",12.0,,55.78665,37.47007,железобетонные,Панельный,Крупноблочные,муниципальный,466.0,1975.0,248.0,1.0,Исправный,Народное Ополчение,1.6,24.0,77:08:0010003:1038,7.7000000000295e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=41034,"маршала тухачевского ул., 42к3"
Северо-Восточный,Останкинский,"г. москва, ул. годовикова, д. 11, к. 5",32.0,1.0,55.81059000000001,37.62438,,Монолитный,,,,2023.0,,,,Алексеевская,0.95,15.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=368940,"годовикова ул., 11к5"
Западный,Тропарево-Никулино,"г. москва, ул. академика анохина, д. 4, к. 1",21.0,,55.66969,37.47395,железобетонные,Монолитный,Крупнопанельные,муниципальный,586.0,2004.0,310.0,1.0,Исправный,Юго-Западная,0.9,14.0,77:07:0014005:1023,7.70000000000754e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=75575,"академика анохина ул., 4к1"
Юго-Восточный,Южнопортовый,"г. москва, пр-кт. волгоградский, д. 32, к. 5",30.0,,55.72241999999999,37.69258,,,,,,2023.0,,,,Волгоградский Проспект,0.5,8.0,77:04:0001018:1199,7.70000000000013e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=84067,"волгоградский просп., 32к5"
Южный,Москворечье-Сабурово,"г. москва, пр-кт. пролетарский, д. 7",23.0,1.0,55.64592,37.65732,железобетонные,Монолитный,Железобетонные Монолитные,муниципальный,968.0,2005.0,300.0,2.0,Исправный,Кантемировская,1.15,17.0,77:05:0005005:1080,7.70000000002386e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=85375,"пролетарский просп., 7"
Западный,Очаково-Матвеевское,"г. москва, ул. веерная, д. 26, к. 1",16.0,,55.71053000000001,37.482820000000004,железобетонные,Панельный,Крупноблочные,муниципальный,253.0,1975.0,248.0,1.0,Исправный,Матвеевская,0.65,10.0,77:07:0012011:1040,7.70000000000944e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=19232,"веерная ул., 26к1"
Северо-Восточный,Бибирево,"г. москва, проезд. шенкурский, д. 8",12.0,,55.89431,37.59129,Железобетонные,Панельный,Крупнопанельные,муниципальный,1082.0,1974.0,264.0,2.0,Исправный,Алтуфьево,0.55,8.0,77:02:0002010:1029,7.70000000003141e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=60433,"шенкурский пр-д, 8"
Восточный,Соколиная Гора,"г. москва, ул. щербаковская, д. 32/7",12.0,,55.782090000000004,37.72918,железобетонные,Кирпичный,Кирпичные,муниципальный,846.0,1965.0,270.0,2.0,Исправный,Семеновская,0.7,11.0,77:03:0004002:1040,7.70000000003172e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=46560,"щербаковская ул., 32/7"
Юго-Западный,Теплый Стан,"г. москва, пр-кт. ленинский, д. 127",17.0,,55.64591,37.47701,железобетонные,Панельный,Крупнопанельные,муниципальный,1296.0,2002.0,264.0,1.0,Исправный,Тропарево,0.3,5.0,77:06:0007001:1032,7.70000000001689e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=77908,"ленинский просп., 127"
Южный,Даниловский,"г. москва, ул. хавская, д. 3",9.0,,55.7193,37.61404,деревянные,Кирпичный,Кирпичные,муниципальный,645.0,1938.0,300.0,1.0,Исправный,Шаболовская,0.45,7.0,77:05:0001006:1073,7.70000000003013e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=20918,"хавская ул., 3"
Юго-Западный,Теплый Стан,"г. москва, ул. академика варги, д. 2",9.0,,55.63242,37.47806,Железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,1369.0,1974.0,264.0,1.0,Исправный,Отсутствует в пешей доступности,20.0,90.0,77:06:0007007:1000,7.70000000000931e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=9281,"академика варги ул., 2"
Центральный,Тверской,"г. москва, ул. новослободская, д. 50/1, стр. 2",10.0,,55.7872,37.59419000000001,Железобетонные,Кирпичный,Кирпичные,,376.0,1954.0,300.0,2.0,Исправный,Менделеевская,0.7,10.0,77:01:0004007:1083,7.70000000000533e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=45056,"новослободская ул., 50/1с2"
Юго-Западный,Зюзино,"г. москва, ул. болотниковская, д. 30, к. 2",19.0,,55.65934,37.59613,железобетонные,Панельный,Крупнопанельные,муниципальный,351.0,2015.0,278.0,2.0,Исправный,Нахимовский Проспект,0.75,11.0,77:06:0005006:5511,7.7000000000088e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=94815,"болотниковская ул., 30к2"
Северо-Восточный,Лосиноостровский,"г. москва, ул. челюскинская, д. 12",14.0,,55.88314,37.70745,Железобетонные,Панельный,Крупноблочные,муниципальный,348.0,1971.0,264.0,2.0,Исправный,Медведково,3.0,45.0,77:02:0010005:1030,7.70000000003079e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=61343,"челюскинская ул., 12"
Юго-Западный,Бутово Южное,"г. москва, проезд. плавский, д. 2",14.0,,55.55009,37.53367,железобетонные,Панельный,Крупнопанельные,муниципальный,610.0,2002.0,264.0,1.0,Исправный,Бульвар Ушакова Адмирала,0.8,12.0,77:06:0012003:1067,7.7000000000451e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=77532,"плавский пр-д, 2"
